KBA015234,광남캐스빌,둔촌광남캐스빌(631),,둔촌동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('106500','KBA015234',1000000013,NOW(),1000000013,NOW());"
KBA015234,광남캐스빌,도원빌,,둔촌동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('110710','KBA015234',1000000013,NOW(),1000000013,NOW());"
KBA015234,광남캐스빌,광남캐스빌(435-7),,둔촌동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('22177','KBA015234',1000000013,NOW(),1000000013,NOW());"
KBA001947,현대(명일현대),고덕현대,,명일동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('1316','KBA001947',1000000013,NOW(),1000000013,NOW());"
KBA002864,삼익맨션,삼익맨션(삼익가든),Y,명일동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('1304','KBA002864',1000000013,NOW(),1000000013,NOW());"
KBA006726,삼성빌라.,예인빌라,,상일동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('27168','KBA006726',1000000013,NOW(),1000000013,NOW());"
KBA009304,현대빌라.,예인빌라,,상일동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('27168','KBA009304',1000000013,NOW(),1000000013,NOW());"
KBA005542,삼성(3단지),현대(383-11),,성내동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('3115','KBA005542',1000000013,NOW(),1000000013,NOW());"
KBA005542,삼성(3단지),성내삼성,,성내동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('993','KBA005542',1000000013,NOW(),1000000013,NOW());"
KBA006052,원다빌(2차),동남2차,,성내동,강동구,서울특별시,"INSERT INTO KMIG_KB_NV_CMPX_KEY_MAPP (NV_CMPX_ID,CMPX_IDF_ID,REG_USER_ID,REG_DTM,CHG_USER_ID,CHG_DTM) VALUES ('10582','KBA006052',1000000013,NOW(),1000000013,NOW());"
